"","degree","normalised.degree","species.strength","interaction.push.pull","nestedrank","PDI","species.specificity.index","resource.range","PSI","node.specialisation.index.NSI","betweenness","weighted.betweenness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d","uniID","X","Site","Date","Waypoint","Species","Height","N.flowers","Time","NN","NN.id","dist.lar","LT","AS","EC","SD","SM","SC","PP","HH","EL","LOTUS","BW","Quantity","density","shrub.density","cactus.density","con.density","het.density","site.density","site.shrub.density","site.cactus.density","S","imp.den.x","imp.den.y"
"54",3,0.176470588235294,0.212099961749331,-0.262633346083556,0.0652173913043478,0.958333333333333,0.636396103067893,0.875,1,1.78695652173913,0.00965375221397998,0.0354216154363984,0.00424879324215607,0.00317023983108321,NA,0.950270539233235,2.58640928985893,0.119685039370079,0.267371712264652,0.436407339880831,"AS 54",54,"low","4.23.2018",54,"AS",52,49,"11:15",166,"AS",6,0,3,0,0,0,0,0,0,0,0,0,5,3,3,0,3,0,0.05,0.05,0,1,0.05,0.05
"55",1,0.0588235294117647,0.010989010989011,-0.989010989010989,0.595652173913043,1,1,1,1,1.66086956521739,0,0,0.00471641190667739,0.00269448839679189,NA,0,1,0.286614173228346,0.103375638694537,0.0812096813010194,"PP 55",55,"low","4.23.2018",55,"PP",23,1,"11:51",200,"LT",54,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.05,0.05,0,0,0.05,0.05
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AS 56",56,"low","4.23.2018",56,"AS",62,33,"12:07",20,"AS",218,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0.05,0.05,0,1,0.05,0.05
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LT 57",57,"low","4.23.2018",57,"LT",250,94,"12:20",470,"AS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0.05,0.05
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LT 58",58,"low","4.23.2018",58,"LT",160,53,"12:33",340,"AS",202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0.05,0.05
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EC 59",59,"low","4.23.2018",59,"EC",40,103,"1:11",290,"LT",90,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.05,0.05,0,1,0.05,0.05
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AS 60",60,"low","4.23.2018",60,"AS",42,9,"1:22",415,"EC",196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0.05,0.05
"61",2,0.117647058823529,0.0377525700106345,-0.481123714994683,0.395652173913043,0.9375,0.684653196881458,0.9375,1,1.5695652173913,0.0117189406847154,0,0.00499296057924377,0.00201036281402394,NA,0.693147180559945,2,0.335433070866142,0.206751277389075,0.120289032602084,"LT 61",61,"low","4.23.2018",61,"LT",170,90,"1:42",570,"LT",166,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.05,0.05,0,0,0.05,0.05
"62",1,0.0588235294117647,0.0142857142857143,-0.985714285714286,0.9,1,1,1,1,2.02173913043478,0,0,0.00377614641995173,0.00160188058365056,NA,0,1,0.110236220472441,0.103375638694537,0.183610725827904,"LT 62",62,"low","4.23.2018",62,"LT",150,55,"1:53",410,"LT",132,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05,0.05,0,0,0.05,0.05
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AS 64",63,"low","4.23.2018",64,"AS",43,27,"2:22",60,"LT",173,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.05,0.05,0,1,0.05,0.05
