Date,WP,Species,,Quantity,nick,fun.grp,ID,Notes,Voucher,,,,,,
4.21.2018,4,HH,1,1,diadasia,bee,diadasia,"same as voucher, large",Y,,,,,,
4.21.2018,4,HH,V,1,diadasia,bee,diadasia,,"usual one. Large, rinconis?",,,,,,
4.21.2018,17,PP,1,1,diadasia,bee,diadasia,"light eyes, rinconis?",,,,,,,
4.22.2018,27,PP,1,1,diadasia,bee,diadasia,"light eyes, rinconis?",,,,,,,
4.22.2018,31,PP,1,1,diadasia,bee,diadasia,"light eyes, rinconis?",,,,,,,
4.24.2018,74,PP,2,2,diadasia,bee,diadasia,visited many times but generally landed on outer portion of petal,,,,,,,
4.24.2018,77,PP,1,1,diadasia?,bee,diadasia,,,,,,,,
4.24.2018,87,SC,1,1,diadasia,bee,diadasia,,,,,,,,
4.24.2018,87,SC,V,1,diadasia,bee,diadasia,,,,,,,,
4.25.2018,97,PP,2,2,diadasia,bee,diadasia,,,,,,,,
4.25.2018,99,PP,1,1,diadasia,bee,diadasia,,,,,,,,
4.26.2018,124,PP,9,9,diadasia,bee,diadasia,all visits <1 second,,,,,,,
4.26.2018,125,SC,1,1,diadasia,bee,diadasia,,,,,,,,
4.27.2018,144,HH,3,3,diadasia,bee,diadasia,,,,,,,,
4.27.2018,156,SC,1,1,diadasia,bee,diadasia,,,,,,,,
4.28.2018,166,PP,1,1,diadasia,bee,diadasia,,,,,,,,
4.28.2018,196,SC,1,1,diadasia,bee,diadasia,,,,,,,,
4.30.2018,198,SC,1,1,diadasia,bee,diadasia,,,,,,,,
4.30.2018,198,SC,V,1,diadasa?,bee,diadasia,ant on leg,"large, not quite as long as usual ",,,,,,
4.30.2018,202,SC,1,1,diadasia,bee,diadasia,,,,,,,,
4.30.2018,207,SC,3,3,diadasia,bee,diadasia,grey,,,,,,,
4.30.2018,228,SC,2,2,diadasia,bee,diadasia,,,,,,,,
4.30.2018,235,SC,1,1,diadasia,bee,diadasia,,,,,,,,
5.3.2018,248,SC,1,1,diadasia,bee,diadasia,"<1s, multiple flowers",,,,,,,
5.3.2018,256,SC,1,1,diadasia,bee,diadasia,this is voucher,wrong number I think - was labelled 266,,,,,,
5.4.2018,285,SC,V,1,diadasia,bee,diadasia,,abdomen seems extra stripey,,,,,,
5.5.2018,303,SC,2,2,diadasia,bee,diadasia,same as two caught,,,,,,,
5.5.2018,303,SC,V,2,diadasia ,bee,diadasia,,,,,,,,
5.5.2018,311,SC,V,1,diadasia,bee,diadasia,has ant,smaller than usual,,,,,,
5.6.2018,322,SC,3,3,diadasia,bee,diadasia,same as voucher,,,,,,,
5.6.2018,322,SC,V,2,diadasia,bee,diadasia,,,,,,,,
5.6.2018,328,SC,V,1,diadasia,bee,diadasia,,,,,,,,
5.6.2018,335,SC,1,1,diadasia,bee,diadasia,,,,,,,,
5.7.2018,350,SC,1,1,diadasia,bee,diadasia,,,,,,,,
5.7.2018,356,SC,V,1,diadasia,bee,diadasia,,,,,,,,
5.7.2018,359,SC,1,1,diadasia,bee,diadasia,,,,,,,,
5.7.2018,359,SC,V,1,diadasia,bee,diadasia,,,,,,,,
5.8.2018,363,SC,1,1,diadasia,bee,diadasia,,,,,,,,
5.8.2018,364,HH,2,2,diadasia,bee,diadasia,,,,,,,,
5.8.2018,385,SC,1,1,diadasia,bee,diadasia,stripey,,,,,,,
4.21.2018,6,LT,1,1,eristalis,syrphid,eristalis,"large syrphid, likely stipator",N,,,,,,
5.3.2018,253,SD,1,1,eristalis,syrphid,eristalis,"abdomen yellow see drawing, face protrudes a lot",,,,,,,
5.3.2018,254,BW,1,1,eristalis,syrphid,eristalis,"abdomen yellow see drawing, face protrudes a lot",,,,,,,
5.7.2018,340,BW,1,1,eristalis,syrphid,eristalis,same,,,,,,,
5.7.2018,338,BW,1,1,wasp - eumenes?,wasp,Eumenes?,"yellow and black, slender gaster ending in bulbous end. Wings held out",,,,,,,
5.8.2018,367,BW,1,1,eumenes?,wasp,Eumenes?,vespid,,,,,,,
4.22.2018,23,EC,1,1,wasp?,wasp,Eumeninae -red,have voucher from s.mex - nectar robber of smex,,,,,,,
4.27.2018,161,SM,1,0,nectar robbing wasp  ,wasp,Eumeninae -red,"have voucher, not pollinating",,,,,,,
4.28.2018,183,SM,1,1,nectar robbing wasp  ,wasp,Eumeninae -red,touched flower,,,,,,,
4.30.2018,209,SM,2,2,nectar robbing wasp  ,wasp,Eumeninae -red,,,,,,,,
5.3.2018,237,SM,1,0,nectar robbing wasp  ,wasp,Eumeninae -red,robbing,,,,,,,
5.4.2018,262,SM,6,0,nectar robbing wasp  ,wasp,Eumeninae -red,robbing,,,,,,,
5.5.2018,305,BW,1,1,nectar robbing wasp  ,wasp,Eumeninae -red,not robbing,,,,,,,
5.6.2018,320,LT,5,5,nectar robbing wasp  ,wasp,Eumeninae -red,not robbing,,,,,,,
5.7.2018,336,BW,1,1,nectar wasp,wasp,Eumeninae -red,,,,,,,,
5.7.2018,352,BW,1,1,nectar wasp,wasp,Eumeninae -red,,,,,,,,
5.7.2018,354,BW,1,1,nectar wasp,wasp,Eumeninae -red,,,,,,,,
5.7.2018,355,BW,1,1,nectar wasp,wasp,Eumeninae -red,,,,,,,,
5.7.2018,355,BW,V,1,nectar wasp,wasp,Eumeninae -red,,,,,,,,
5.8.2018,361,AS,3,3,nectar wasp,wasp,Eumeninae -red,not robbing,,,,,,,
5.8.2018,365,BW,1,1,nectar wasp,wasp,Eumeninae -red,not robbing,,,,,,,
5.8.2018,375,BW,3,3,nectar wasp,wasp,Eumeninae -red,not robbing,,,,,,,
5.8.2018,378,BW,3,3,nectar wasp,wasp,Eumeninae -red,,,,,,,,
5.8.2018,380,AS,1,1,nectar wasp,wasp,Eumeninae -red,,,,,,,,
4.21.2018,12,EC,1,1,hairstreak,lep,Euphilotes mojave,photo,,,,,,,
4.24.2018,77,PP,1,1,grey hairstreak,lep,Euphilotes mojave,"walked through pollen, mostly on edge of flower",,,,,,,
4.30.2018,208,PP,1,1,hairstreak,lep,Euphilotes mojave,grey with orange spot,,,,,,,
4.30.2018,209,SM,1,1,hairstreak,lep,Euphilotes mojave,photos,,,,,,,
4.30.2018,235,BW,1,1,hairstreak,lep,Euphilotes mojave,grey with orange spot,,,,,,,
5.5.2018,305,BW,1,1,hairstreak,lep,Euphilotes mojave,"orange spot, photos",,,,,,,
5.5.2018,310,BW,1,1,hairstreak,lep,Euphilotes mojave,"orange spot, photos",,,,,,,
5.6.2018,316,LT,1,1,hairstreak,lep,Euphilotes mojave,grey with orange spot,,,,,,,
5.7.2018,338,BW,1,1,hairstreak,lep,Euphilotes mojave,,,,,,,,
5.7.2018,354,BW,2,2,hairstreak,lep,Euphilotes mojave,,,,,,,,
4.23.2018,67,EC,1,0,green plant bug,,green plant bug,same as voucher,,,,,,,
4.23.2018,52,SD,2,2,"bee - small/medium, grey fuzzy, round and longish abdomen. Small apiaform or megachile. Medium length antenna. Have spotted several times of salvia dorria",bee,grey fuzzy bee,"bee - small/medium, grey fuzzy, round and longish abdomen. Small apiaform or megachile. Medium length antenna. Have spotted several times of salvia dorria",,,,,,,
4.28.2018,163,LT,2,2,hesperapis,bee,hesperapis,,,,,,,,
5.3.2018,242,LT,1,1,bee,bee,hesperapis,same as voucher from this session,,,,,,,
5.3.2018,242,LT,V,1,bee,bee,hesperapis,,"small, looks a lot like hesperapis. Maybe is female?",,,,,,
5.8.2018,370,LT,1,1,hesperapis,bee,hesperapis,,,,,,,,
4.21.2018,3,LT,2,2,honeybee,honeybee,honeybee,,,,,,,,
4.21.2018,6,LT,3,3,honeybee,honeybee,honeybee,,,,,,,,
4.21.2018,13,LT,3,3,honeybee,honeybee,honeybee,,,,,,,,
4.22.2018,30,LT,1,1,honeybee,honeybee,honeybee,,,,,,,,
4.22.2018,33,LT,3,3,honeybee,honeybee,honeybee,,,,,,,,
4.22.2018,38,LT,1,1,honeybee,honeybee,honeybee,,,,,,,,
4.23.2018,52,SD,2,2,honeybee,honeybee,honeybee,,,,,,,,
4.23.2018,62,LT,1,1,honeybee,honeybee,honeybee,,,,,,,,
4.23.2018,65,EC,2,2,honeybee,honeybee,honeybee,,,,,,,,
4.24.2018,82,LT,1,1,honeybee,honeybee,honeybee,,,,,,,,
4.24.2018,85,LT,3,3,honeybee,honeybee,honeybee,,,,,,,,
4.24.2018,86,LT,2,2,honeybee,honeybee,honeybee,,,,,,,,
4.26.2018,131,LT,1,1,honeybee,honeybee,honeybee,,,,,,,,
4.26.2018,132,EC,1,1,honeybee,honeybee,honeybee,,,,,,,,
4.27.2018,140,PP,3,3,honeybee,honeybee,honeybee,,,,,,,,
4.27.2018,145,LT,1,1,honeybee,honeybee,honeybee,,,,,,,,
4.27.2018,159,LT,3,3,honeybee,honeybee,honeybee,,,,,,,,
4.28.2018,163,LT,1,1,honeybee,honeybee,honeybee,,,,,,,,
4.30.2018,199,LT,2,2,honeybee,honeybee,honeybee,,,,,,,,
4.30.2018,211,LT,1,1,honeybee,honeybee,honeybee,,,,,,,,
4.30.2018,219,LT,1,1,honeybee,honeybee,honeybee,,,,,,,,
5.3.2018,240,LT,2,2,honeybee,honeybee,honeybee,,,,,,,,
