"","Id","site","name","Descript","Type","Comment","Symbol","DateTimeS","Elevation","y","x","Site","Species","Height","N.flowers","Time","NN","NN.id","dist.lar","LT","AS","EC","SD","SM","SC","PP","HH","EL","LOTUS","BW","uniID","Quantity","density","shrub.density","cactus.density"
"85","0","L","148",NA,"WPT",NA,"Flag, Blue","2018-04-27T19:23:11Z",1291.897827,3849254.51452,622532.346507,"","EC",62,225,"12:26",15,"EC",79,1,0,1,0,0,0,0,0,0,0,0,"EC 148",3,2,2,0
"86","0","L","149",NA,"WPT",NA,"Flag, Blue","2018-04-27T19:41:58Z",1287.806885,3849235.60583,622628.239782,"","LT",210,151,"12:47",300,"LT",94,2,0,0,0,0,0,0,0,0,0,0,"LT 149",4,2,2,0
"87","0","L","150",NA,"WPT",NA,"Flag, Blue","2018-04-27T19:42:38Z",1288.579224,3849247.38325,622621.401498,"","AS",53,45,"12:47",270,"AS",174,0,1,0,0,0,0,0,0,0,0,0,"AS 150",0,1,1,0
"88","0","L","151",NA,"WPT",NA,"Flag, Blue","2018-04-27T20:12:33Z",1288.12146,3849189.97025,622641.387425,"","LT",135,87,"1:14",70,"AS",41,1,1,1,0,0,0,0,0,0,0,0,"LT 151",3,3,3,0
"89","0","L","152",NA,"WPT",NA,"Flag, Blue","2018-04-27T20:12:53Z",1288.290894,3849189.70836,622646.699256,"","SC",66,10,"1:14",0,"EC",77,1,1,2,0,0,0,0,0,0,0,0,"SC 152",2,4,4,0
"90","0","L","153",NA,"WPT",NA,"Flag, Blue","2018-04-27T20:58:54Z",1283.673096,3849135.52364,622617.677191,"","EC",58,92,"2:00",60,"AS",104,0,4,1,0,0,0,0,0,0,0,0,"EC 153",5,5,5,0
"91","0","L","154",NA,"WPT",NA,"Flag, Blue","2018-04-27T20:59:13Z",1284.053833,3849134.93491,622615.122432,"","AS",34,38,"2:00",147,"EC",136,0,1,2,0,0,0,0,0,0,0,0,"AS 154",0,3,3,0
"92","0","L","155",NA,"WPT",NA,"Flag, Blue","2018-04-27T21:17:14Z",1283.800537,3849059.78547,622561.119003,"","LT",130,39,"2:19",150,"LT",32,2,0,0,0,0,0,0,0,0,0,0,"LT 155",0,2,2,0
"93","0","L","156",NA,"WPT",NA,"Flag, Blue","2018-04-27T21:17:30Z",1281.812378,3849059.26154,622563.41404,"","SC",66,15,"2:19",68,"AS",14,1,1,0,0,0,0,0,0,0,0,0,"SC 156",5,2,2,0
"94","0","L","157",NA,"WPT",NA,"Flag, Blue","2018-04-27T21:34:49Z",1282.180908,3849055.93778,622547.075576,"","AS",51,22,"2:36",125,"LT",181,0,1,0,0,0,0,0,0,0,0,0,"AS 157",0,1,1,0
"95","0","L","158",NA,"WPT",NA,"Flag, Blue","2018-04-27T21:35:08Z",1282.099976,3849058.78834,622544.566376,"","AS",54,30,"2:36",125,"AS",160,0,1,0,0,0,0,0,0,0,0,0,"AS 158",0,1,1,0
"96","0","L","159",NA,"WPT",NA,"Flag, Blue","2018-04-27T21:57:21Z",1302.016968,3849289.50778,622453.079531,"","LT",230,160,"3:00",70,"AS",161,0,2,0,0,0,0,0,0,0,0,0,"LT 159",5,2,2,0
